"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10867","verifyUserNavigatedToProductsPage","Surefire suite","2026-07-20","passed","2026-07-20","ui.SearchProductTest","Surefire test","ui.SearchProductTest","verifyUserNavigatedToProductsPage"
"","17","setup","Default suite","2026-07-20","broken","2026-07-20","ui.LoginTest","Default test","ui.LoginTest","setup"
"Verify that registered user login successfully.","41277","verifyUserCanLoginSuccessfully","Default suite","2026-07-20","passed","2026-07-20","ui.LoginTest","Default test","ui.LoginTest","verifyUserCanLoginSuccessfully"
"","21859","verifyRegisterUserAccount","Surefire suite","2026-07-20","passed","2026-07-20","api.AutomationExerciseAPITests","Surefire test","api.AutomationExerciseAPITests","verifyRegisterUserAccount"
"","11724","verifySearchProductItem","Surefire suite","2026-07-20","broken","2026-07-20","api.AutomationExerciseAPITests","Surefire test","api.AutomationExerciseAPITests","verifySearchProductItem"
"","37242","verifyUserSearchNonExistingItem","Surefire suite","2026-07-20","passed","2026-07-20","ui.SearchProductTest","Surefire test","ui.SearchProductTest","verifyUserSearchNonExistingItem"
"","171","verifyDeleteUserAccount","Surefire suite","2026-07-20","broken","2026-07-20","api.AutomationExerciseAPITests","Surefire test","api.AutomationExerciseAPITests","verifyDeleteUserAccount"
"","13750","verifyFirstProductCanBeAddedToCart","Surefire suite","2026-07-20","broken","2026-07-20","ui.CartTest","Surefire test","ui.CartTest","verifyFirstProductCanBeAddedToCart"
"","22523","verifyAllItemsRelatedToSearchAreDisplayed","Surefire suite","2026-07-20","passed","2026-07-20","ui.SearchProductTest","Surefire test","ui.SearchProductTest","verifyAllItemsRelatedToSearchAreDisplayed"
"","1960","verifyLoginWithValidLoginDetails","Surefire suite","2026-07-20","passed","2026-07-20","api.AutomationExerciseAPITests","Surefire test","api.AutomationExerciseAPITests","verifyLoginWithValidLoginDetails"
"","2199","verifyLoginWithoutEmailParamedter","Surefire suite","2026-07-20","passed","2026-07-20","api.AutomationExerciseAPITests","Surefire test","api.AutomationExerciseAPITests","verifyLoginWithoutEmailParamedter"
"","40","verifyDeleteLogin","Surefire suite","2026-07-20","broken","2026-07-20","api.AutomationExerciseAPITests","Surefire test","api.AutomationExerciseAPITests","verifyDeleteLogin"
"Verify that user is unable to login with invalid password.","30225","verifyLoginWithInvalidPassword","Default suite","2026-07-20","passed","2026-07-20","ui.LoginTest","Default test","ui.LoginTest","verifyLoginWithInvalidPassword"
"Verify that user is unable to login with invalid email.","12668","verifyLoginWithInvalidEmailFormat","Default suite","2026-07-20","passed","2026-07-20","ui.LoginTest","Default test","ui.LoginTest","verifyLoginWithInvalidEmailFormat"
"","279","verifyReturnUserDetailsByEmail","Surefire suite","2026-07-20","broken","2026-07-20","api.AutomationExerciseAPITests","Surefire test","api.AutomationExerciseAPITests","verifyReturnUserDetailsByEmail"
"Verify that loggedin user logout successfully from the application.","65741","verifyLogout","Default suite","2026-07-20","passed","2026-07-20","ui.LoginTest","Default test","ui.LoginTest","verifyLogout"
"","238","verifyUserAccountUpdate","Surefire suite","2026-07-20","broken","2026-07-20","api.AutomationExerciseAPITests","Surefire test","api.AutomationExerciseAPITests","verifyUserAccountUpdate"
"","65","verifyLoginWithInvalidDetails","Surefire suite","2026-07-20","broken","2026-07-20","api.AutomationExerciseAPITests","Surefire test","api.AutomationExerciseAPITests","verifyLoginWithInvalidDetails"
